OBJECTID,POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,DATA_ATUALIZACAO,EOL_VERSAO_ID,NOME_EOL,DEN_AEG,OPERACAO,PROPRIETARIO,UF,LATITUDE,LONGITUDE
1855,2.0,145.0,95.0,100.0,2022-10-24 15:37:27,30527,Renascença III,UG6,True,Energisa Geração - Central Eólica Renascença III S.A.,RN,-5.292960131826393,-35.88689933399996
1856,1.68,122.0,80.0,82.5,2022-10-24 15:37:27,30778,Dourados,DOU-17,True,Centrais Eólicas Dourados S.A.,BA,-14.164829313551715,-42.66304477999995
1857,2.7,150.0,89.0,122.0,2022-10-24 15:37:27,31509,Pontal 2A,AERO 07,True,Enerplan Energia Eólica IV S.A.,RS,-30.255033433178276,-50.78623751499998
1858,3.0,182.5,120.0,125.0,2022-10-24 15:37:27,30929,Jandaia,JAN-01,True,Energia dos Ventos VII S.A,CE,-4.432987465854318,-37.816219375999935
1859,2.0,135.0,80.0,110.0,2022-10-24 15:37:27,32524,Delfina VII,3,True,Enel Green Power Delfina E Eólica S.A.,BA,-9.982926681677382,-40.90849500799993
1860,1.79,130.0,80.0,100.0,2022-10-24 15:37:27,31610,Verace 36,AGV36-01,True,Eólica Hermenegildo III S.A.,RS,-33.606157616129764,-53.354453724999985
1861,5.5,205.0,126.0,158.0,2022-05-03 16:25:59,35234,Ventos da Bahia XXIII,3,True,Parque Eólico Ventos da Bahia XXIII S.A.,BA,-12.088896103613045,-41.49435777699995
1862,2.1,175.0,120.0,110.0,2022-10-24 15:37:27,33640,São Bento do Norte I,SBN I 08,True,Central Geradora Eólica São Bento do Norte I S.A.,RN,-5.135775962831488,-35.942014051999934
1863,3.15,182.5,120.0,125.0,2022-10-24 15:37:27,33005,Ventos de Santa Ângela 01,VSA01-10,True,Enel Green Power Ventos de Santa Ângela 1 S.A.,PI,-8.541497670722423,-41.57415818399994
1864,3.0,182.5,120.0,125.0,2022-10-24 15:37:27,33619,Aura Lagoa do Barro 3,ALB-3-02,True,Lagoa do Barro III Energias Renováveis S.A.,PI,-8.615733419720103,-41.552376365999976
1865,1.79,130.0,80.0,100.0,2022-10-24 15:37:27,31610,Verace 36,AGV36-02,True,Eólica Hermenegildo III S.A.,RS,-33.6048137921298,-53.35967557699996
1866,2.0,145.0,100.0,90.0,2022-10-24 15:37:27,30791,Minuano II,UG22,True,Eólica Chuí VII S.A.,RS,-33.72622194212831,-53.42230591799995
1867,2.0,121.5,78.0,87.0,2022-10-24 15:37:27,30511,Calango 1,CAL1-6,True,Calango 1 Energia Renovável S.A.,RN,-6.034869791802384,-36.54673550799998
1868,1.79,130.0,80.0,100.0,2022-10-24 15:37:27,31600,Verace 27,AGV27-04,True,Eólica Hermenegildo I S.A.,RS,-33.657098795129144,-53.32168357399996
1869,1.68,122.0,80.0,82.5,2022-10-24 15:37:27,30490,Da Prata,DPT-05,True,Centrais Eólicas da Prata S.A.,BA,-13.958687024557687,-42.64036216599993
1870,3.465,150.0,84.0,132.0,2021-08-18 17:12:44,34639,Chafariz 1,CHA1-10,True,Chafariz 1 Energia Renovável S.A.,PB,-7.012320757770979,-36.89816148699998
1871,1.6,130.0,80.0,100.0,2022-10-24 15:37:27,30562,União dos Ventos 1,UV1-14,True,Energia Potiguar Geradora Eólica S.A.,RN,-5.086240337833062,-35.83321435199998
1872,2.0,135.0,80.0,110.0,2022-10-24 15:37:27,32523,Delfina VI,2,True,Enel Green Power Delfina D Eólica S.A.,BA,-10.027553954676003,-40.95087338899998
1873,3.15,182.5,120.0,125.0,2021-05-21 17:37:21,33020,Ventos de Santa Ângela 16,VSA16-04,True,Enel Green Power Ventos de Santa Ângela ACL 16 S.A.,PI,-8.740708036716134,-41.56202263999995
